Tipo Molecular,Expressao,Tipo.Tecido
HER2,1.459,Plasma
HER2,1.387,Plasma
HER2,2.044,Plasma
HER2,2.045,Plasma
HER2,1.607,Plasma
HER2,1.621,Plasma
HER2,1.601,Plasma
HER2,1.652,Plasma
HER2,1.599,Plasma
HER2,1.675,Plasma
HER2,1.599,Plasma
HER2,1.171,Plasma
HER2,1.58,Plasma
HER2,1.561,Plasma
HER2,1.58,Plasma
HER2,1.783,Plasma
HER2,1.609,Plasma
HER2,2.171,Plasma
HER2,2.12,Plasma
HER2,2.171,Plasma
HER2,2.166,Plasma
HER2,2.231,Plasma
HER2,2.557,Plasma
HER2,2.182,Plasma
HER2,2.227,Plasma
HER2,2.35,Plasma
HER2,2.227,Plasma
HER2,2.231,Plasma
HER2,2.482,Plasma
HER2,2.485,Plasma
HER2,2.477,Plasma
Luminal A ,2.535,Plasma
Luminal A ,2.379,Plasma
Luminal A ,2.485,Plasma
Luminal A ,2.438,Plasma
Luminal A ,2.438,Plasma
Luminal A ,2.509,Plasma
Luminal A ,2.379,Plasma
Luminal A ,2.371,Plasma
Luminal A ,2.381,Plasma
Luminal A ,2.379,Plasma
Luminal A ,2.386,Plasma
Luminal A ,2.386,Plasma
Luminal A ,2.535,Plasma
Luminal A ,2.553,Plasma
Luminal A ,2.485,Plasma
Luminal A ,2.54,Plasma
Luminal A ,2.535,Plasma
Luminal A ,2.533,Plasma
Luminal B,2.538,Plasma
Luminal B,2.532,Plasma
Luminal B,2.53,Plasma
Luminal B,2.511,Plasma
Luminal B,2.011,Plasma
Luminal B,2.484,Plasma
Luminal B,2.385,Plasma
Luminal B,2.53,Plasma
Luminal B,2.301,Plasma
Luminal B,2.511,Plasma
Luminal B,2.531,Plasma
Luminal B,2.513,Plasma
Luminal B,2.484,Plasma
Luminal B,2.53,Plasma
Luminal B,2.512,Plasma
Luminal B,2.121,Plasma
Luminal B,2.484,Plasma
Luminal B,2.53,Plasma
Luminal B,2.484,Plasma
Luminal B,2.53,Plasma
Luminal B,2.472,Plasma
Luminal B,2.388,Plasma
Luminal B,2.41,Plasma
Luminal B,2.581,Plasma
Luminal B,2.577,Plasma
Luminal B,2.569,Plasma
Luminal B,2.885,Plasma
Luminal B,2.41,Plasma
Luminal B,2.533,Plasma
Luminal B,2.496,Plasma
Luminal B,2.425,Plasma
Luminal B,2.519,Plasma
Luminal B,2.496,Plasma
Luminal B,2.532,Plasma
Luminal B,2.496,Plasma
Luminal B,2.387,Plasma
Luminal B,2.452,Plasma
Luminal B ,2.451,Plasma
Luminal B ,2.44,Plasma
Luminal B HER2,2.529,Plasma
Luminal B HER2,2.403,Plasma
Luminal B HER2,2.492,Plasma
Luminal B HER2,2.465,Plasma
Luminal B HER2,2.496,Plasma
Luminal B HER2,2.492,Plasma
Luminal B HER2,2.529,Plasma
Luminal B HER2,2.492,Plasma
Luminal B HER2,2.438,Plasma
Luminal B HER2,2.492,Plasma
Luminal B HER2,2.53,Plasma
Luminal B HER2,2.529,Plasma
Luminal B HER2,2.169,Plasma
Luminal B HER2,2.047,Plasma
Luminal B HER2,2.145,Plasma
Luminal B HER2,2.028,Plasma
Luminal B HER2,2.168,Plasma
Luminal B HER2,2.081,Plasma
Luminal B HER2,2.028,Plasma
Luminal B HER2,2.377,Plasma
Luminal B HER2,2.578,Plasma
Luminal B HER2,2.54,Plasma
Luminal B HER2,2.218,Plasma
Luminal B HER2,2.024,Plasma
Luminal B HER2,2.008,Plasma
Luminal B HER2,1.861,Plasma
Luminal B HER2,1.973,Plasma
Luminal B HER2,2.255,Plasma
Luminal B HER2,2.015,Plasma
Luminal B HER2,1.892,Plasma
Luminal B HER2,2.037,Plasma
Luminal B HER2,2.111,Plasma
Luminal B HER2,1.901,Plasma
Luminal B HER2,1.973,Plasma
Luminal B HER2,1.886,Plasma
Luminal B HER2,2.119,Plasma
Luminal B HER2,2.489,Plasma
Luminal B HER2,2.621,Plasma
Luminal B HER2,2.097,Plasma
Luminal B HER2,2.219,Plasma
Luminal B HER2,2.039,Plasma
Luminal B HER2,2.165,Plasma
Luminal B HER2,2.791,Plasma
Luminal B HER2,1.978,Plasma
Luminal B HER2,1.906,Plasma
Triplo Negativo,2.261,Plasma
Triplo Negativo,2.299,Plasma
Triplo Negativo,2.293,Plasma
Triplo Negativo,1.98,Plasma
Triplo Negativo,2.258,Plasma
Triplo Negativo,2.02,Plasma
Triplo Negativo,2.053,Plasma
Triplo Negativo,2.159,Plasma
Triplo Negativo,2.392,Plasma
Triplo Negativo,1.943,Plasma
Triplo Negativo,2.225,Plasma
Triplo Negativo,2.015,Plasma
Triplo Negativo,2.186,Plasma
Triplo Negativo,2.224,Plasma
Triplo Negativo,2.012,Plasma
Triplo Negativo,2.051,Plasma
Triplo Negativo,1.907,Plasma
Triplo Negativo,1.943,Plasma
Triplo Negativo,2.073,Plasma
Triplo Negativo,2.303,Plasma
Triplo Negativo,2.22,Plasma
Triplo Negativo,2.359,Plasma
Triplo Negativo,2.115,Plasma
Triplo Negativo,2.254,Plasma
Triplo Negativo,1.91,Plasma
